cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,pred_homo_ev,pred_lumo_ev,pred_gap_ev
670488,(E)-2-acetamido-N-(furan-2-ylmethyl)-3-phenylprop-2-enamide,CC(=O)NC(=CC1=CC=CC=C1)C(=O)NCC2=CC=CO2,284.315,21,16,3,2,0,0,2,-7.9803,0.0811,8.201
116740,"2,6,9,10-tetramethyl-1-oxaspiro[4.5]deca-3,6-diene",CC1CC=C(C2(C1C)C=CC(O2)C)C,192.302,14,13,1,0,0,0,0,-8.1937,1.81,10.1539
26226,"4-[2-(cyclopentylamino)-1-hydroxyethyl]benzene-1,2-diol",C1CCC(C1)NCC(C2=CC(=C(C=C2)O)O)O,237.29900000000004,17,13,3,1,0,0,1,-7.7615,1.7581,9.5564
777573,methyl 2-[4-thiophen-2-yl-6-(trifluoromethyl)pyrimidin-2-yl]sulfanylacetate,COC(=O)CSC1=NC(=CC(=N1)C(F)(F)F)C2=CC=CS2,334.344,21,12,2,2,2,3,2,-8.4695,-0.3728,8.0566
288390,methyl 4-[2-(1H-indol-3-yl)ethyl-methylamino]-4-oxobutanoate,CN(CCC1=CNC2=CC=CC=C21)C(=O)CCC(=O)OC,288.34700000000004,21,16,3,2,0,0,2,-8.0807,0.8252,8.8528
256788,"4,7-diamino-2-methylsulfanylpteridine-6-carboxamide",CSC1=NC(=C2C(=N1)N=C(C(=N2)C(=O)N)N)N,251.275,17,8,1,7,1,0,2,-7.9313,0.1909,8.2304
234054,3-[2-[4-(3-chlorophenyl)piperazin-1-yl]ethoxy]propanenitrile,C1CN(CCN1CCOCCC#N)C2=CC(=CC=C2)Cl,293.798,20,15,1,3,0,1,1,-8.017,0.7186,8.263
146317,methyl 3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate,COC1=C(C=C(C=C1)C=CC(=O)OC)O,208.213,15,11,4,0,0,0,1,-7.8173,0.0929,8.1745
772247,N-(2-acetamidophenyl)-2-fluorobenzamide,CC(=O)NC1=CC=CC=C1NC(=O)C2=CC=CC=C2F,272.279,20,15,2,2,0,1,2,-8.1055,0.3594,8.3568
107474,(2-hydroxy-3-octylsulfanylpropyl)-trimethylazanium,CCCCCCCCSCC(C[N+](C)(C)C)O,262.48299999999995,17,14,1,1,1,0,0,-7.9346,2.816,11.2711
709571,1-[(2-chlorophenyl)methyl]-2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1CC3=CC=CC=C3Cl,256.736,18,15,0,2,0,1,3,-7.961,0.6839,8.5332
776647,2-[[benzyl(thiophen-2-ylmethyl)carbamothioyl]amino]acetic acid,C1=CC=C(C=C1)CN(CC2=CC=CS2)C(=S)NCC(=O)O,320.4390000000001,21,15,2,2,2,0,2,-7.8338,0.8251,8.47
935519,4-[5-(2-methoxyphenoxy)tetrazol-1-yl]benzoic acid,COC1=CC=CC=C1OC2=NN=NN2C3=CC=C(C=C3)C(=O)O,312.285,23,15,4,4,0,0,3,-8.2583,-0.5406,7.8826
571859,N-methyl-N-phenylpyridine-2-carboxamide,CN(C1=CC=CC=C1)C(=O)C2=CC=CC=N2,212.252,16,13,1,2,0,0,2,-8.138,0.1815,8.3702
91162,ethyl 2-acetylheptanoate,CCCCCC(C(=O)C)C(=O)OCC,200.278,14,11,3,0,0,0,0,-9.2918,1.9449,10.5866
619177,"2-butyl-1,3-bis(methylsulfonyl)benzene",CCCCC1=C(C=CC=C1S(=O)(=O)C)S(=O)(=O)C,290.406,18,12,4,0,2,0,1,-8.758,0.2275,8.7647
442418,"(2S,3R,4S,5S,6R)-2-[[(1S,2R,4S,5R,6S,10S)-5,6-dihydroxy-2-methyl-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-10-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",CC12C3C(OC=CC3(C(C1O2)O)O)OC4C(C(C(C(O4)CO)O)O)O,362.3310000000001,25,15,10,0,0,0,0,-8.7814,1.5483,10.4606
33327,"1-[3-(dimethylamino)propyl]-3,3-dimethyl-N-phenyl-2-benzothiophene-1-carboxamide",CC1(C2=CC=CC=C2C(S1)(CCCN(C)C)C(=O)NC3=CC=CC=C3)C,368.546,26,22,1,2,1,0,2,-7.4915,1.0361,8.4751
31245,2-methylpentanal,CCCC(C)C=O,100.161,7,6,1,0,0,0,0,-9.2852,2.7856,11.9579
98247,2-methylbicyclo[2.2.1]hept-5-ene-2-carboxamide,CC1(CC2CC1C=C2)C(=O)N,151.20899999999995,11,9,1,1,0,0,0,-8.5661,1.8796,10.4214
229259,"ethyl 2-[(3-ethoxycarbonyl-4,5-dimethyl-1H-pyrrol-2-yl)methylidene]-4,5-dimethylpyrrole-3-carboxylate",CCOC(=O)C1=C(NC(=C1C)C)C=C2C(=C(C(=N2)C)C)C(=O)OCC,344.4110000000001,25,19,4,2,0,0,1,-7.9238,0.2313,8.0409
243963,"2,4-dimethoxy-1,3,5-triazine",COC1=NC(=NC=N1)OC,141.13,10,5,2,3,0,0,1,-8.5689,0.7152,9.2317
529904,1-(prop-1-enyldisulfanyl)propane,CCCSSC=CC,148.296,8,6,0,0,2,0,0,-8.3907,1.5493,10.1698
631263,5-(4-chlorophenoxy)-6-methoxy-2-methyl-8-nitroquinoline,CC1=NC2=C(C=C1)C(=C(C=C2[N+](=O)[O-])OC)OC3=CC=C(C=C3)Cl,344.754,24,17,4,2,0,1,3,-8.0562,-0.4121,7.7872
27825,N-butyl-N-pentylnitrous amide,CCCCCN(CCCC)N=O,172.27200000000002,12,9,1,2,0,0,0,-7.9869,2.9118,10.7186
588509,3-butyl-2-ethylthiolane,CCCCC1CCSC1CC,172.337,11,10,0,0,1,0,0,-8.0434,2.7795,11.665
208497,"2-(1,4-dimethyl-4-propylpiperazine-1,4-diium-1-yl)ethyl 2-(5-methyl-2-propan-2-ylphenoxy)acetate",CCC[N+]1(CC[N+](CC1)(C)CCOC(=O)COC2=C(C=CC(=C2)C)C(C)C)C,392.5840000000001,28,23,3,2,0,0,1,-7.6966,1.3155,9.1423
750801,"3-(4-chlorophenyl)-5-[(2,3-dimethylphenoxy)methyl]-1,2,4-oxadiazole",CC1=C(C(=CC=C1)OCC2=NC(=NO2)C3=CC=C(C=C3)Cl)C,314.772,22,17,2,2,0,1,3,-8.0334,0.083,8.0717
681454,"5-[[(3R)-2,5-dioxo-1-phenylpyrrolidin-3-yl]amino]-1H-pyrimidine-2,4-dione",C1C(C(=O)N(C1=O)C2=CC=CC=C2)NC3=CNC(=O)NC3=O,300.27400000000006,22,14,4,4,0,0,2,-8.2094,-0.2247,7.7434
735393,"3-[(1S)-1-(4-phenylphenoxy)ethyl]-4-prop-2-enyl-1H-1,2,4-triazole-5-thione",CC(C1=NNC(=S)N1CC=C)OC2=CC=C(C=C2)C3=CC=CC=C3,337.44800000000004,24,19,1,3,1,0,3,-7.5361,0.5979,8.338
571413,(4-benzoyloxynaphthalen-1-yl) benzoate,C1=CC=C(C=C1)C(=O)OC2=CC=C(C3=CC=CC=C32)OC(=O)C4=CC=CC=C4,368.3880000000001,28,24,4,0,0,0,4,-8.1116,-0.5339,7.6868
