cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,library_canonical_check,in_qm9
760558,2-ethoxy-6-[(4-pyridin-2-ylpiperazin-1-yl)iminomethyl]phenol,CCOC1=CC=CC(=C1O)C=NN2CCN(CC2)C3=CC=CC=N3,326.4,24,18,2,4,0,0,2,CCOc1cccc(C=NN2CCN(c3ccccn3)CC2)c1O,False
914463,"2-(1,3-benzothiazol-2-yl)-4-(cyclohexyliminomethyl)-5-methyl-1H-pyrazol-3-one",CC1=C(C(=O)N(N1)C2=NC3=CC=CC=C3S2)C=NC4CCCCC4,340.4520000000002,24,18,1,4,1,0,3,Cc1[nH]n(-c2nc3ccccc3s2)c(=O)c1C=NC1CCCCC1,False
721467,"methyl (4S)-4-(4-ethylphenyl)-2-methyl-5-oxo-4,6,7,8-tetrahydro-1H-quinoline-3-carboxylate",CCC1=CC=C(C=C1)C2C3=C(CCCC3=O)NC(=C2C(=O)OC)C,325.408,24,20,3,1,0,0,1,CCc1ccc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CCC3)cc1,False
659828,"6,7-dimethoxy-2-[3-(trifluoromethyl)phenyl]-3H-isoindol-1-one",COC1=C(C2=C(CN(C2=O)C3=CC=CC(=C3)C(F)(F)F)C=C1)OC,337.297,24,17,3,1,0,3,2,COc1ccc2c(c1OC)C(=O)N(c1cccc(C(F)(F)F)c1)C2,False
27942,4-chloro-3-nitrobenzamide,C1=CC(=C(C=C1C(=O)N)[N+](=O)[O-])Cl,200.581,13,7,3,2,0,1,1,NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,False
625906,N-(2-methyl-5-nitrophenyl)-1-naphthalen-1-ylmethanimine,CC1=C(C=C(C=C1)[N+](=O)[O-])N=CC2=CC=CC3=CC=CC=C32,290.32200000000006,22,18,2,2,0,0,3,Cc1ccc([N+](=O)[O-])cc1N=Cc1cccc2ccccc12,False
497644,"4-(5-methyl-2,4-dioxopyrimidin-1-yl)but-2-enyl dodecanoate",CCCCCCCCCCCC(=O)OCC=CCN1C=C(C(=O)NC1=O)C,378.5130000000001,27,21,4,2,0,0,1,CCCCCCCCCCCC(=O)OCC=CCn1cc(C)c(=O)[nH]c1=O,False
278429,diethyl 2-pentyl-2-prop-1-en-2-ylpropanedioate,CCCCCC(C(=C)C)(C(=O)OCC)C(=O)OCC,270.369,19,15,4,0,0,0,0,C=C(C)C(CCCCC)(C(=O)OCC)C(=O)OCC,False
687437,"4-[(4-chlorophenyl)methylidene]-2-(2-fluorophenyl)-1,3-oxazol-5-one",C1=CC=C(C(=C1)C2=NC(=CC3=CC=C(C=C3)Cl)C(=O)O2)F,301.704,21,16,2,1,0,2,2,O=C1OC(c2ccccc2F)=NC1=Cc1ccc(Cl)cc1,False
820935,"2-(4-bromophenyl)imidazo[2,1-a]isoquinoline",C1=CC=C2C(=C1)C=CN3C2=NC(=C3)C4=CC=C(C=C4)Br,323.193,20,17,0,2,0,1,4,Brc1ccc(-c2cn3ccc4ccccc4c3n2)cc1,False
