target,model,MAE,RMSE,R2,time_sec
homo_ev,RandomForestRegressor,0.24908831531718165,0.32723869264487737,0.5978598223996432,8.219151496887207
homo_ev,ExtraTreesRegressor,0.24587202308557443,0.324350096665478,0.6049280182305437,4.703944444656372
homo_ev,GradientBoostingRegressor,0.29759384201718003,0.3747308832147944,0.4726643396705035,23.548941612243652
homo_ev,HistGradientBoostingRegressor,0.26651415734489975,0.3373552426472772,0.5726112414869793,3.2505950927734375
homo_ev,Ridge,0.29691104833531995,0.37754006538808604,0.4647283268318694,0.05176997184753418
homo_ev,LinearRegression,0.2969122998379913,0.3775518569772466,0.4646948903688095,0.0783376693725586
homo_ev,XGBRegressor,0.25315311327482454,0.32281256679377374,0.6086646920000107,4.248980760574341
homo_ev,LGBMRegressor,0.25820860914382576,0.3280418860774425,0.5958833278879669,4.139450550079346
lumo_ev,RandomForestRegressor,0.32529002157510484,0.4326738300359885,0.713343522518878,13.06185531616211
lumo_ev,ExtraTreesRegressor,0.3084989402678711,0.414505935197452,0.7369114115896458,4.744471549987793
lumo_ev,GradientBoostingRegressor,0.3925487729984659,0.49726784262183477,0.6213645661849676,23.86054563522339
lumo_ev,HistGradientBoostingRegressor,0.35399916825986044,0.4544566497150432,0.6837537176619972,0.7611315250396729
lumo_ev,Ridge,0.40632198406385855,0.5126609987757248,0.5975600722165667,0.030930280685424805
lumo_ev,LinearRegression,0.4063242387343347,0.5126674393182719,0.5975499604750263,0.033434391021728516
lumo_ev,XGBRegressor,0.3334831075426412,0.4326898308791099,0.7133223202652663,0.6736106872558594
lumo_ev,LGBMRegressor,0.3401281154055974,0.4393747554884154,0.7043957286169341,0.6515178680419922
gap_ev,RandomForestRegressor,0.38159022547495197,0.5110803184056455,0.6442149247431077,8.172608852386475
gap_ev,ExtraTreesRegressor,0.36260652527006076,0.49193274445166063,0.6703744439291593,5.0399041175842285
gap_ev,GradientBoostingRegressor,0.4606688797727006,0.5882367176512738,0.5286823844504224,23.673157215118408
gap_ev,HistGradientBoostingRegressor,0.4166661722798155,0.5379412646005234,0.6058340257300032,0.7516031265258789
gap_ev,Ridge,0.4664717520049521,0.5934872056774565,0.5202310534244905,0.040465593338012695
gap_ev,LinearRegression,0.4665041831912974,0.5935546050455551,0.5201220773264417,0.03547477722167969
gap_ev,XGBRegressor,0.39706323930075554,0.5170394521848249,0.6358697341760509,0.6900804042816162
gap_ev,LGBMRegressor,0.4053983003440481,0.5245276970917782,0.6252460114733335,0.6333878040313721
