feature,importance
RingCount,0.20233779
H_count,0.09100431
O_count,0.07835903
F_count,0.07520317
NumHDonors,0.0723209
Cl_count,0.061618276
NumAromaticRings,0.058110837
NumHAcceptors,0.05351678
TPSA,0.04708686
N_count,0.04272999
S_count,0.038325217
FractionCSP3,0.026795333
NumRotatableBonds,0.02459719
MolLogP,0.021106733
C_count,0.020024657
BertzCT,0.018690491
BalabanJ,0.01819459
MolWt,0.017906861
HeavyAtomCount,0.016860742
LabuteASA,0.015210312
Br_count,0.0
I_count,0.0
